# l species scattering_weight beta_l
70 utls_sulfate     2.094333838e-02 3.451096830e-13
71 utls_sulfate     2.094333838e-02 1.584363066e-13
72 utls_sulfate     2.094333838e-02 2.012593651e-13
73 utls_sulfate     2.094333838e-02 1.004239010e-13
74 utls_sulfate     2.094333838e-02 1.192210393e-13
75 utls_sulfate     2.094333838e-02 6.095091879e-14
76 utls_sulfate     2.094333838e-02 6.492657974e-14
77 utls_sulfate     2.094333838e-02 2.258609966e-14
78 utls_sulfate     2.094333838e-02 1.848586388e-14
79 utls_sulfate     2.094333838e-02 -7.791944173e-15
80 utls_sulfate     2.094333838e-02 -8.605637904e-15
